timestamp,sensor_id,temperature,humidity,pressure
2025-06-01 09:35:54,Kaggle_Sim_C03,31.64,0.82,1013.89
2025-06-01 10:02:54,Kaggle_Sim_C03,7.11,0.29,1019.6
2025-06-01 10:22:54,Weather_Station_Main,5.81,0.98,1006.11
2025-06-01 10:37:54,Kaggle_Sim_C03,17.49,,1033.54
2025-06-01 10:53:54,Weather_Station_Main,21.45,0.35,1043.11
2025-06-01 11:13:54,Kaggle_Sim_B02,9.35,0.41,1009.86
2025-06-01 11:30:54,Kaggle_Sim_C03,0.45,0.96,1018.87
2025-06-01 11:58:54,Kaggle_Sim_B02,24.61,0.43,990.29
2025-06-01 12:10:54,Weather_Station_Main,18.15,0.25,1038.17
2025-06-01 12:26:54,Kaggle_Sim_C03,-2.79,0.83,980.81
2025-06-01 12:45:54,Kaggle_Sim_B02,17.85,0.77,1007.05
2025-06-01 13:10:54,Kaggle_Sim_B02,-1.46,0.71,1004.04
2025-06-01 13:25:54,Kaggle_Sim_B02,11.81,0.21,1041.15
2025-06-01 13:46:54,Kaggle_Sim_A01,32.51,0.29,1009.43
2025-06-01 14:00:54,Kaggle_Sim_A01,11.59,0.49,1007.15
2025-06-01 14:17:54,Kaggle_Sim_B02,30.4,0.59,1007.75
2025-06-01 14:31:54,Kaggle_Sim_B02,-1.9,0.71,1029.37
2025-06-01 14:50:54,Weather_Station_Main,19.33,0.22,1012.97
2025-06-01 15:13:54,Kaggle_Sim_A01,-2.98,0.63,1022.01
2025-06-01 15:42:54,Weather_Station_Main,3.42,0.83,1015.5
