timestamp,sensor_id,temperature,humidity,pressure
2025-05-22 22:58:47,Kaggle_Sim_A01,-4.98,0.27,1024.95
2025-05-22 23:08:47,Kaggle_Sim_B02,34.9,0.51,992.66
2025-05-22 23:16:47,Kaggle_Sim_B02,2.38,0.44,990.15
2025-05-22 23:45:47,Kaggle_Sim_C03,-4.23,0.68,1020.87
2025-05-23 00:09:47,Kaggle_Sim_C03,20.34,0.81,1040.74
2025-05-23 00:33:47,Weather_Station_Main,1.09,0.71,1001.71
2025-05-23 00:59:47,Kaggle_Sim_B02,33.18,0.4,1046.63
2025-05-23 01:14:47,Kaggle_Sim_B02,24.99,0.58,1017.2
2025-05-23 01:36:47,Kaggle_Sim_C03,0.55,0.39,1016.32
2025-05-23 02:05:47,Kaggle_Sim_C03,16.82,0.33,1014.78
2025-05-23 02:22:47,Weather_Station_Main,5.95,0.72,993.05
2025-05-23 02:34:47,Kaggle_Sim_B02,15.6,0.6,1022.94
2025-05-23 02:46:47,Kaggle_Sim_A01,33.85,0.59,1011.76
2025-05-23 02:54:47,Kaggle_Sim_B02,-2.67,0.35,1003.99
2025-05-23 03:20:47,Weather_Station_Main,4.15,0.91,1028.25
2025-05-23 03:28:47,Kaggle_Sim_C03,1.65,0.54,981.75
2025-05-23 03:41:47,Kaggle_Sim_C03,28.67,0.53,988.95
2025-05-23 04:09:47,Weather_Station_Main,6.25,0.24,1027.78
2025-05-23 04:33:47,Kaggle_Sim_C03,-2.24,0.42,1017.42
2025-05-23 04:59:47,Kaggle_Sim_A01,-3.66,0.5,1034.2
