timestamp,sensor_id,temperature,humidity,pressure
2011-05-21 07:00:00,Kaggle_Weather_03,22.84444444444445,0.66,1019.6
2011-05-21 08:00:00,Kaggle_Weather_01,25.016666666666666,0.57,1019.8
2011-05-21 09:00:00,Kaggle_Weather_02,26.088888888888885,0.49,1019.72
2011-05-21 10:00:00,Kaggle_Weather_03,27.066666666666663,0.48,1019.8
2011-05-21 11:00:00,Kaggle_Weather_01,27.61666666666666,0.41,1019.12
2011-05-21 12:00:00,Kaggle_Weather_02,27.55,0.39,1018.3
2011-05-21 13:00:00,Kaggle_Weather_03,28.511111111111106,0.33,1017.75
2011-05-21 14:00:00,Kaggle_Weather_01,26.961111111111112,0.42,1017.37
2011-05-21 15:00:00,Kaggle_Weather_02,25.98333333333333,0.48,1017.45
2011-05-21 16:00:00,Kaggle_Weather_03,24.944444444444446,0.51,1017.7
2011-05-21 17:00:00,Kaggle_Weather_01,23.75,0.5,1017.51
2011-05-21 18:00:00,Kaggle_Weather_02,22.188888888888886,0.59,1017.59
2011-05-21 19:00:00,Kaggle_Weather_03,18.88888888888889,0.83,1018.44
2011-05-21 20:00:00,Kaggle_Weather_01,18.86666666666666,0.8,1019.0
2011-05-21 21:00:00,Kaggle_Weather_02,18.34444444444444,0.8,1018.66
2011-05-21 22:00:00,Kaggle_Weather_03,17.705555555555556,0.86,1018.64
2011-05-21 23:00:00,Kaggle_Weather_01,17.794444444444444,0.86,1018.46
2011-05-22 00:00:00,Kaggle_Weather_02,15.97222222222222,0.88,1019.06
2011-05-22 01:00:00,Kaggle_Weather_03,15.572222222222225,0.92,1018.35
2011-05-22 02:00:00,Kaggle_Weather_01,15.483333333333333,0.9,1018.14
2011-05-22 03:00:00,Kaggle_Weather_02,14.483333333333333,0.92,1018.5
2011-05-22 04:00:00,Kaggle_Weather_03,16.016666666666666,0.81,1018.8
2011-05-22 05:00:00,Kaggle_Weather_01,17.805555555555557,0.78,1018.92
2011-05-22 06:00:00,Kaggle_Weather_02,19.93333333333333,0.72,1018.99
2011-05-22 07:00:00,Kaggle_Weather_03,22.24444444444445,0.67,1018.92
